Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
#143418,331420,FM-PZBLK-3738,PAZ BLACK,04/11/2025 11:24:00,1,Return to Stock
#143933,333424,FM-PZBLK-3738,PAZ BLACK,04/25/2025 11:17:00,1,Return to Stock
#144411,335520,FM-PZSND-3637,PAZ SANDS,05/01/2025 15:15:00,1,Return to Stock
#143571,331869,FM-PZSND-3738,PAZ SANDS,04/11/2025 10:56:00,1,Return to Stock
#142454,306844,FM-PZSND-3940,PAZ SANDS,02/18/2025 15:06:00,1,Return to Stock
#143657,332437,FM-PZSND-3940,PAZ SANDS,04/16/2025 15:02:00,1,Return to Stock
#144921,337365,FM-PZSND-3940,PAZ SANDS,05/13/2025 11:05:00,1,Return to Stock
#143839,333151,FM-PZSND-4041,PAZ SANDS,04/11/2025 11:30:00,1,Return to Stock
#144056,333967,FM-PZSND-4142,PAZ SANDS,05/01/2025 15:18:00,1,Return to Stock
#143669,332449,FM-PZAUR-3435,PAZ AURA-SLIDES,04/08/2025 15:08:00,1,Return to Stock
#141606,286674,FM-PZAUR-3637,PAZ AURA,12/12/2024 15:58:00,1,Return to Stock
#141495,284933,FM-PZAUR-3637,PAZ AURA,03/12/2025 16:17:00,1,Return to Stock
#143109,329728,FM-PZAUR-3637,PAZ AURA,03/14/2025 11:07:00,1,Return to Stock
#143174,330233,FM-KFBLK-3637,KIEFF BLACK-CLOGS,04/03/2025 15:53:00,1,Return to Stock
#144563,336049,FM-KFBLK-3738,KIEFF BLACK-CLOGS,05/13/2025 09:16:00,1,Return to Stock
#144291,335075,FM-KFBLK-3839,KIEFF BLACK-CLOGS,05/01/2025 12:36:00,1,Return to Stock
#143671,332446,FM-KFBLK-3839,KIEFF BLACK-CLOGS,05/02/2025 13:16:00,1,Return to Stock
#144824,337004,FM-KFBLK-3839,KIEFF BLACK-CLOGS,05/13/2025 11:16:00,1,Return to Stock
#142454,306844,FM-KFBLK-3940,KIEFF BLACK-CLOGS,02/18/2025 15:06:00,1,Return to Stock
#143600,332124,FM-KFBLK-4041,KIEFF BLACK-CLOGS,04/16/2025 14:43:00,1,Return to Stock
#143874,333278,FM-KFBLK-4243,KIEFF BLACK-CLOGS,04/17/2025 11:49:00,1,Return to Stock
#143282,330834,FM-KFBLK-4445,KIEFF BLACK-CLOGS,03/26/2025 10:45:00,1,Return to Stock
#143335,331083,FM-KFSND-3637,KIEFF SANDS,03/25/2025 10:05:00,1,Return to Stock
#143242,330584,FM-KFSND-3738,KIEFF SANDS,04/11/2025 09:41:00,1,Return to Stock
#143979,333833,FM-KFSND-3738,KIEFF SANDS,05/13/2025 11:34:00,1,Return to Stock
#143479,331727,FM-KFSND-3839,KIEFF SANDS-CLOGS,04/08/2025 15:19:00,1,Return to Stock
#143943,333695,FM-KFSND-3839,KIEFF SANDS-CLOGS,05/07/2025 16:01:00,1,Return to Stock
#143638,332310,FM-KFSND-4041,KIEFF SANDS,04/11/2025 09:54:00,1,Return to Stock
#143432,331488,FM-KFSND-4041,KIEFF SANDS,04/16/2025 14:45:00,1,Return to Stock
#144160,334591,FM-KFSND-4142,KIEFF SANDS,05/09/2025 15:22:00,1,Return to Stock
#144398,335531,FM-KFSND-4142,KIEFF SANDS,05/13/2025 09:28:00,1,Return to Stock
#144250,334834,FM-KFSND-4243,KIEFF SANDS-SLIDES,05/13/2025 09:35:00,1,Return to Stock
#144618,336395,FM-KFSND-4243,KIEFF SANDS-SLIDES,05/13/2025 11:21:00,1,Return to Stock
#144125,334390,FM-APR-3940,APRICOT,05/13/2025 11:51:00,1,Return to Stock
#141978,288485,FM-KFAPR-3435,KIEFF APRICOT-CLOGS,03/12/2025 14:47:00,1,Return to Stock
#143421,331423,FM-KFAPR-3637,KIEFF APRICOT-CLOGS,04/11/2025 10:44:00,1,Return to Stock
#143919,333449,FM-KFAPR-3637,KIEFF APRICOT-CLOGS,04/25/2025 16:11:00,1,Return to Stock
#143573,331866,FM-KFAPR-3839,KIEFF APRICOT-CLOGS,04/08/2025 15:10:00,1,Return to Stock
